Marca_temporal,Edad,Genero,Procedencia,Traslado_ UNAH,Computadora_ permanente,Conexi?n_ permanente,Calidad_ conexi?n,Estudio_ secundaria,Cantidad_ carreras,Rango_ acad?mico,Mejorar_ ?ndice,Exelencia_academica,Reprobaci?n,Rango_ promedio_ clases,Flexibilidad_ horarios,Horas_ libres,Estimaci?n_ horas_ libres,Lista_ espera,Mas_ cupos,Preferencia_ estudio,Horas_ diarias_ estudio,Disciplina,Autodidacta,Demora,EntorNo,Motivo_ estudio,Seguimiento,Deserci?n,Sobrepoblaci?n,Aumento _de _la poblaci?n,Sobrecarga_ laboral,Planificaci?n,Estrategias_ educativas,Recursos,Plataforma,Frecuencia_ de_ uso,Aumento_ de_ uso,Uso_ lms,lms_ utiliza,Estimaci?n_ lms,Cambio _LMS
2020/04/04 5:19:57 p.?m. GMT-6,23-27,Femenino,No,Normal,Si,No,,No,No,70-79,Mejor planificaci?n,No,Si,4 a 6 ,Si,Si,Pocas,Si,Si,Solo,3,Si,Si,Si,No,Te gusta la carrera,Si,No,Si,No,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Poco,Si,Moodle;Otras,Intermedio,Si
2020/04/04 7:39:30 p.?m. GMT-6,28-32,Masculino,No,Normal,Si,Si,Si,Si,No,90-100,Mejor planificaci?n,Si,No,4 a 6 ,Si,No,,No,Si,Grupo,5,Si,Si,No,Si,Te gusta la carrera,Si,No,No,No,Si,41% - 60%,41% - 60%,No,Si,En ocasiones,Mucho,Si,Otras,Intermedio,Si
2020/04/04 7:45:12 p.?m. GMT-6,23-27,Femenino,Si,Normal,Si,Si,Si,No,No,80-89,Mejor planificaci?n,Si,Si,4 a 6 ,Si,No,,Si,Si,Grupo,2,En ocasiones,No,Si,Si,Influencia de terceros,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si
2020/04/05 10:52:02 a.?m. GMT-5,23-27,Femenino,Si,Normal,Si,Si,Si,No,No,80-89,Mejor Planificaci?n;Flexibilidad de horarios,Si,Si,4 a 6 ,Si,No,,Si,Si,Solo,2,En ocasiones,Si,Si,Si,Influencia de terceros,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Mucho,Si,Moodle;Canvas LMS;Wordpress,Poco,Si
2020/04/06 10:19:48 a.?m. GMT-5,23-27,Masculino,No,Normal,Si,Si,Si,No,No,80-89,Flexibilidad de horarios,Si,Si,4 a 6 ,Si,Si,Pocas,No,Si,Solo,1,Si,Si,Si,Si,Otros,Si,Si,Si,No,Si,41% - 60%,20% - 40%,Si,Si,En ocasiones,Mucho,Si,Otras,Intermedio,Si
2020/04/06 10:27:07 a.?m. GMT-5,23-27,Femenino,Si,Normal,Si,Si,No,No,No,90-100,Flexibilidad de horarios;Otros,Si,No,4 a 6 ,No,No,,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,No,41% - 60%,41% - 60%,Si,Si,En ocasiones,Poco,Si,Moodle;Otras,Intermedio,Si
2020/04/06 10:39:36 a.?m. GMT-5,23-27,Masculino,No,Pocas,Si,Si,Si,No,No,70-79,Otros,No,Si,2 a 4,No,Si,Muchas,Si,Si,Solo,1,Si,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,61% - 80%,41% - 60%,Si,Si,Muy frecuentemente,Poco,Si,Moodle;Otras,Poco,Si
2020/04/06 10:44:45 a.?m. GMT-5,28-32,Masculino,Si,Pocas,Si,Si,Si,No,No,90-100,Flexibilidad de horarios,Si,No,4 a 6 ,Si,No,,Si,Si,Solo,2,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Intermedio,Si,Moodle;Wordpress,Intermedio,Si
2020/04/06 10:45:03 a.?m. GMT-5,23-27,Masculino,Si,Pocas,Si,Si,No,No,No,70-79,Mejor Planificaci?n,No,Si,4 a 6 ,No,Si,Muchas,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,En ocasiones,Mucho,Si,Moodle;Wordpress,Intermedio,Si
2020/04/06 10:46:42 a.?m. GMT-5,23-27,Masculino,Si,Normal,Si,Si,Si,No,No,80-89,Flexibilidad de horarios,Si,No,4 a 6 ,No,Si,Muchas,Si,Si,Grupo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Nunca,Mucho,Si,Wordpress,Poco,Si
